,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
152582,1238326982,89.676,10.749,3.9700000000000003e-23,3061.4970000000003,0.25,6078.503418,0,0,0.885,XWnM7FWU9v,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/yKlTgURFeG/XWnM7FWU9v.png,5.657
201908,1248051024,75.263,36.442,1.63e-22,3728.5370000000003,1.091,7426.483398,0,0,0.48700000000000004,895tQ1sQSm,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/FLZfo8098a/895tQ1sQSm.png,5.657
148933,1252597523,509.36300000000006,46.63,1.85e-22,2644.462,0.25,5217.366211,0,0,0.9009999999999999,epglrSDehC,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MxdjDeJ9w0/epglrSDehC.png,5.657
80135,1248419480,115.113,13.664000000000001,5.660000000000001e-23,553.622,0.125,1035.686157,0,0,0.998,8y6kDwAiDR,H1,Blip,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/ZFqKBJv2u5/8y6kDwAiDR.png,5.657
192396,1246595901,49.208,9.345,6.02e-23,3492.43,0.111,6938.074706999999,0,0,0.585,iQsTEDuoHM,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JAx0PX1Fx9/iQsTEDuoHM.png,5.657
88453,1251314317,49.208,8.797,5.640000000000001e-23,56.43,0.156,54.999088,0,0,0.996,eIghffUvhS,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7ITiuBWM5W/eIghffUvhS.png,5.657
48788,1245076862,217.74099999999999,52.406000000000006,1.98e-22,1612.8220000000001,0.5,3167.782959,0,0,1.0,lxxOT9LZi3,H1,Blip,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/Dpe80743fU/lxxOT9LZi3.png,5.657
169893,1245582552,217.74099999999999,26.585,8.61e-23,3982.889,1.11,7935.187988,0,0,0.778,0ABmHpnuX4,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Lo15PaPZGb/0ABmHpnuX4.png,5.657
104062,1244264681,39.789,8.597999999999999,6.700000000000001e-23,53.54600000000001,0.188,60.305381999999994,0,0,0.99,RjclnnLL7K,L1,Blip,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LUZS04xR8Y/RjclnnLL7K.png,5.657
124897,1244713446,217.74099999999999,44.17100000000001,1.66e-22,2641.038,0.563,5224.214844,0,0,0.968,pPXddZ36NA,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/xFq6S91XVv/pPXddZ36NA.png,5.657
170566,1253512766,93.079,14.435,6.26e-23,162.60399999999998,0.43799999999999994,273.724945,0,0,0.773,JhyF1tYVsj,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/OrE1e3fQzJ/JhyF1tYVsj.png,5.657
126770,1240598094,58.396,11.82,8.11e-23,194.541,0.625,333.94989,0,0,0.965,vxa6Z73mQm,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/44vWoR4pIb/vxa6Z73mQm.png,5.657
87146,1253004226,39.789,8.36,9.359999999999999e-23,39.058,0.125,31.33045,0,0,0.996,FekIxLUfLo,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/OrE1e3fQzJ/FekIxLUfLo.png,5.657
191010,1242812342,63.39,8.506,5.2e-23,100.575,0.35200000000000004,115.48677099999999,0,0,0.6,Irv58DiBmu,H1,Repeating_Blips,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DaS4cfbkaN/Irv58DiBmu.png,5.657
